"Time","Events","ExG97","ExG98","ExG99","ExG100","ExG101","ExG102","ExG103","ExG104","ExG105","ExG106","ExG107","ExG108","ExG109","ExG110","ExG111","ExG112"
0:18:04.809,,14.896,20.980,0.209,-5.972,3.950,-3.979,-6.949,-1.193,-14.550,-9.820,-4.762,20.710,-7.989,6.584,-3.386,-8.629
0:18:04.810,,16.985,19.599,0.870,-6.370,2.988,-2.934,-6.253,-0.394,-13.706,-11.157,-6.237,20.536,-8.824,7.672,-4.025,-8.626
0:18:04.810,,15.025,19.993,0.093,-7.513,3.454,-0.762,-5.327,-0.619,-12.916,-10.845,-7.382,18.814,-6.601,6.327,-3.683,-8.105
0:18:04.811,,13.858,15.727,0.735,-8.658,3.410,0.004,-5.676,-1.665,-10.111,-9.260,-5.351,19.878,-8.164,6.543,-3.188,-8.103
0:18:04.811,,13.185,15.524,1.746,-6.318,5.350,-0.284,-6.022,-4.266,-8.639,-9.840,-5.105,20.901,-8.935,7.044,-5.913,-8.465
0:18:04.812,,11.057,17.363,2.983,-5.860,5.487,-2.840,-5.371,-2.390,-9.395,-7.594,-4.913,20.107,-7.964,5.180,-5.271,-10.669
0:18:04.812,,12.105,16.657,2.579,-7.490,5.029,-0.918,-6.887,-3.325,-10.502,-8.124,-4.558,19.968,-7.435,5.423,-3.321,-9.135
0:18:04.813,,12.399,17.506,-0.065,-5.970,3.810,-0.567,-6.009,-3.628,-10.215,-7.692,-1.928,20.185,-9.238,4.343,-4.430,-8.496
0:18:04.813,,8.875,16.580,-2.410,-4.744,3.645,0.469,-5.082,-5.204,-7.408,-7.758,-3.098,17.743,-7.047,7.553,-4.097,-8.155
0:18:04.813,,8.052,16.741,-1.698,-6.235,5.029,-1.113,-5.370,-2.438,-7.408,-6.177,-1.259,17.105,-6.898,4.555,-4.576,-8.448
0:18:04.814,,8.361,15.450,-0.716,-3.946,3.314,-2.717,-5.823,-2.260,-10.341,-6.761,-2.092,15.682,-5.400,5.258,0.227,-8.269
0:18:04.814,,8.526,12.498,0.013,-5.175,4.263,-0.807,-3.992,-4.109,-8.389,-8.225,-3.191,15.285,-7.200,6.567,0.981,-7.088
0:18:04.815,,8.508,11.308,-1.468,-6.934,2.126,-1.735,-3.676,-3.921,-7.193,-5.894,-2.350,16.731,-5.289,6.352,-0.730,-5.895
0:18:04.815,,9.946,12.237,-0.915,-6.321,2.410,-1.658,-6.191,-2.065,-8.598,-5.347,-2.788,17.318,-3.520,5.105,-2.538,-6.981
0:18:04.816,,7.548,11.315,-0.914,-4.377,3.391,-1.131,-6.467,-1.224,-9.332,-4.845,-3.068,16.114,-2.675,4.867,-4.740,-4.584
0:18:04.816,,6.916,12.188,-0.922,-1.986,3.269,-0.310,-4.762,-2.019,-8.365,-7.081,-0.424,13.912,-4.550,4.410,-3.376,-6.877
0:18:04.817,,6.603,11.367,-1.763,-4.576,2.881,0.774,-3.970,-1.520,-7.162,-6.552,-1.789,15.674,-5.507,4.569,-1.993,-6.902
0:18:04.817,,6.331,11.461,0.851,-2.520,3.358,0.290,-4.211,-1.743,-8.568,-3.976,-1.544,13.618,-6.224,0.856,-0.581,-7.316
0:18:04.818,,6.408,11.543,-0.075,-2.780,4.320,1.433,-3.233,-1.584,-6.616,-5.616,-0.893,10.651,-7.013,0.545,-1.827,-5.339
0:18:04.818,,6.227,11.096,-0.115,-4.514,2.539,-0.478,-3.759,-1.327,-4.059,-3.930,-0.974,12.369,-6.540,3.967,-3.837,-6.558
0:18:04.819,,5.631,9.038,-1.593,-2.864,3.746,-0.414,-3.454,-2.841,-3.503,-1.326,-1.052,12.244,-8.150,4.007,-3.256,-6.203
0:18:04.819,,5.136,9.042,-1.274,-1.602,3.199,1.131,-3.459,-2.454,-5.129,-2.258,-1.637,11.052,-6.440,3.928,-2.915,-6.246
0:18:04.820,,5.697,9.547,-0.355,-4.202,5.667,2.749,-4.499,-0.393,-4.646,-2.729,-2.484,8.741,-6.433,2.144,-1.812,-6.902
